,collection,brand,item,price_without_discount,discount,clean_price,maltiply
1419,Conscious,Nanushka,satin wrap dress,717.0,0.0,717.0,1.0
1420,New Season,Dolce & Gabbana,sequin-embellished floral-patterned mini dress,2676.0,0.0,2676.0,1.0
1421,,Zadig&Voltaire,puff-sleeve tea dress,483.0,20.0,386.0,0.8
1422,Conscious,Jil Sander,oversized-collar pleat-detail flared dress,1507.0,45.0,829.0,0.55
1423,Conscious,PINKO,tiered-effect crop-sleeve mini dress,317.0,40.0,190.0,0.6
1424,,PUMA,colour-block T-shirt dress,58.0,15.0,49.0,0.85
1425,Conscious,Maje,flap-pocket dress,310.0,0.0,310.0,1.0
1426,New Season,Diesel,sleeveless denim shirtdress,277.0,0.0,277.0,1.0
1427,Conscious,Wolford,Aurora tube dress,179.0,0.0,179.0,1.0
1428,New Season,Self-Portrait,bib-collar pleated dress,471.0,0.0,471.0,1.0
1429,,IRO,Carlina abstract-print dress,438.0,15.0,372.0,0.85
1430,,Polo Ralph Lauren,graphic-print flared shirtdress,261.0,0.0,261.0,1.0
1431,,P.A.R.O.S.H.,cross-over strap fitted mini dress,193.0,30.0,135.0,0.7
1432,,ROTATE,pleated empire-line dress,266.0,30.0,186.0,0.7
1433,,PINKO,printed shirt dress,410.0,30.0,287.0,0.7
1434,,PINKO,sweetheart neckline mini dress,410.0,30.0,287.0,0.7
1435,New Season,Off-White,seam-detail fitted mini dress,603.0,0.0,603.0,1.0
1436,,Patrizia Pepe,sleeveless panelled midi dress,268.0,0.0,268.0,1.0
1437,,Dolce & Gabbana,sweetheart neckline jersey dress,1725.0,0.0,1725.0,1.0
1438,,Woolrich,ruched-panel midi dress,200.0,30.0,140.0,0.7
1439,,b+ab,frayed-detail V-neck dress,274.0,50.0,137.0,0.5
1440,,Isabel Marant,Amelie pleated silk minidress,1096.0,0.0,1096.0,1.0
1441,,Retrofete,Lema acid-wash mini dress,481.0,30.0,337.0,0.7
1442,,JOSEPH,gathered-waist midi dress,681.0,30.0,477.0,0.7
1443,,ZIMMERMANN,crochet lace dress,1551.0,30.0,1086.0,0.7
1444,New Season,Michelle Mason,V-neck silk dress,936.0,0.0,936.0,1.0
1445,,Calvin Klein Jeans,Fit and Flare logo dress,100.0,0.0,100.0,1.0
1446,,MSGM,logo-print T-shirt dress,150.0,30.0,105.0,0.7
1447,,HUGO,ribbed polo dress,147.0,0.0,147.0,1.0
1448,,SANDRO,short-sleeve button-fastening dress,276.0,0.0,276.0,1.0
